交易所,席位,品种,席位投机保证金按金额收取,交易类别,席位套利保证金按金额收取,席位套利保证金率按手数收取
SHFE,上海席位,白银,0.12000000,期货,0.00000000,0.00
SHFE,上海席位,铝,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,黄金,0.08000000,期货,0.00000000,0.00
SHFE,上海席位,石油沥青,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,阴极铜,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,燃料油,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,热轧卷板,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,镍,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,铅,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,螺纹钢,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,天然橡胶,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,锡,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,漂针浆,0.09000000,期货,0.00000000,0.00
SHFE,上海席位,不锈钢,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,线材,0.10000000,期货,0.00000000,0.00
SHFE,上海席位,锌,0.10000000,期货,0.00000000,0.00
CZCE,郑州席位,苹果,0.08000000,期货,0.00000000,0.00
CZCE,郑州席位,棉一号,0.07000000,期货,0.00000000,0.00
CZCE,郑州席位,干制红枣,0.12000000,期货,0.00000000,0.00
CZCE,郑州席位,棉纱,0.07000000,期货,0.00000000,0.00
CZCE,郑州席位,玻璃,0.09000000,期货,0.00000000,0.00
CZCE,郑州席位,粳稻,0.06000000,期货,0.00000000,0.00
CZCE,郑州席位,晚籼稻,0.06000000,期货,0.00000000,0.00
CZCE,郑州席位,甲醇,0.08000000,期货,0.00000000,0.00
CZCE,郑州席位,菜籽油2,0.08000000,期货,0.00000000,0.00
CZCE,郑州席位,涤纶短纤,0.08000000,期货,0.00000000,0.00
CZCE,郑州席位,花生,0.08000000,期货,0.00000000,0.00
CZCE,郑州席位,普通小麦,0.06000000,期货,0.00000000,0.00
CZCE,郑州席位,早籼稻2,0.06000000,期货,0.00000000,0.00
CZCE,郑州席位,菜籽粕,0.08000000,期货,0.00000000,0.00
CZCE,郑州席位,油菜籽,0.20000000,期货,0.00000000,0.00
CZCE,郑州席位,纯碱,0.09000000,期货,0.00000000,0.00
CZCE,郑州席位,硅铁,0.12000000,期货,0.00000000,0.00
CZCE,郑州席位,锰硅,0.12000000,期货,0.00000000,0.00
CZCE,郑州席位,白砂糖,0.07000000,期货,0.00000000,0.00
CZCE,郑州席位,精对苯二甲酸,0.07000000,期货,0.00000000,0.00
CZCE,郑州席位,尿素,0.07000000,期货,0.00000000,0.00
CZCE,郑州席位,强麦2,0.07000000,期货,0.00000000,0.00
CZCE,郑州席位,新动力煤,0.12000000,期货,0.00000000,0.00
DCE,大连席位,黄大豆,0.12000000,期货,0.00000000,0.00
DCE,大连席位,黄豆2,0.09000000,期货,0.00000000,0.00
DCE,大连席位,细木工板,0.40000000,期货,0.00000000,0.00
DCE,大连席位,玉米,0.11000000,期货,0.00000000,0.00
DCE,大连席位,玉米淀粉,0.07000000,期货,0.00000000,0.00
DCE,大连席位,苯乙烯,0.12000000,期货,0.00000000,0.00
DCE,大连席位,乙二醇,0.11000000,期货,0.00000000,0.00
DCE,大连席位,纤维板,0.10000000,期货,0.00000000,0.00
DCE,大连席位,铁矿石,0.12000000,期货,0.00000000,0.00
DCE,大连席位,冶金焦炭,0.20000000,期货,0.00000000,0.00
DCE,大连席位,鲜鸡蛋,0.09000000,期货,0.00000000,0.00
DCE,大连席位,焦煤,0.20000000,期货,0.00000000,0.00
DCE,大连席位,线型低密度聚乙烯,0.10000000,期货,0.00000000,0.00
DCE,大连席位,生猪,0.15000000,期货,0.00000000,0.00
DCE,大连席位,豆粕,0.08000000,期货,0.00000000,0.00
DCE,大连席位,棕榈油,0.10000000,期货,0.00000000,0.00
DCE,大连席位,液化石油气,0.11000000,期货,0.00000000,0.00
DCE,大连席位,聚丙烯,0.10000000,期货,0.00000000,0.00
DCE,大连席位,粳米,0.06000000,期货,0.00000000,0.00
DCE,大连席位,聚氯乙烯,0.10000000,期货,0.00000000,0.00
DCE,大连席位,豆油,0.08000000,期货,0.00000000,0.00
CFFEX,中金所席位,中证500指数,0.14000000,期货,0.14000000,0.00
CFFEX,中金所席位,沪深300,0.12000000,期货,0.12000000,0.00
CFFEX,中金所席位,上证50指数,0.12000000,期货,0.12000000,0.00
CFFEX,中金所席位,沪深300股指期权,0.12000000,期权,0.12000000,0.00
CFFEX,中金所席位,十年期国债,0.02000000,期货,0.02000000,0.00
CFFEX,中金所席位,五年期国债,0.01200000,期货,0.01200000,0.00
CFFEX,中金所席位,二年期国债,0.00500000,期货,0.00500000,0.00
能源,能源席位,国际铜,0.10000000,期货,0.00000000,0.00
能源,能源席位,低硫燃料油,0.10000000,期货,0.00000000,0.00
能源,能源席位,20号胶,0.10000000,期货,0.00000000,0.00
能源,能源席位,原油,0.10000000,期货,0.00000000,0.00
